|   # | Tiny Inconvenience                                                           | Villain Origin Consequence                                                                         |
| --: | ---------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------- |
|   1 | The coffee lid leaks on Mimi’s sleeve                                        | Mimi becomes **The Drip Queen**, ruler of minor stains and emotional instability.                  |
|   2 | Someone walks slowly in front of her                                         | Mimi develops **sidewalk final-boss energy** and starts speed-walking like destiny owes her money. |
|   3 | Her phone charger only works at one angle                                    | Mimi becomes **The Cable Witch**, bending reality and USB cords with rage.                         |
|   4 | The Wi-Fi drops during one important click                                   | Mimi enters her **buffering villain era** and declares war on all routers.                         |
|   5 | A text says “lol” with no emoji                                              | Mimi becomes **The Tone Detective**, overanalyzing punctuation until society collapses.            |
|   6 | The vending machine eats her coin                                            | Mimi becomes **Snack Debt Collector**, feared by all machines with glass windows.                  |
|   7 | Her fries arrive lukewarm                                                    | Mimi becomes **The Potato Tyrant**, demanding justice from the kingdom of soggy carbs.             |
|   8 | Someone says “calm down”                                                     | Mimi transforms into **Mount Mimi**, emotionally active and legally classified as weather.         |
|   9 | The elevator closes right before she reaches it                              | Mimi becomes **The Button Presser**, pressing “close door” on society itself.                      |
|  10 | Her favorite pen runs out mid-sentence                                       | Mimi becomes **Inkless Vengeance**, writing enemies’ names in invisible rage.                      |
|  11 | A sock disappears in the laundry                                             | Mimi becomes **The Missing Sock Oracle**, convinced the dryer is a portal.                         |
|  12 | A YouTube ad appears at the best part                                        | Mimi becomes **Skip Button Supreme**, training for five seconds of pure hatred.                    |
|  13 | Someone leaves one sip of juice in the fridge                                | Mimi becomes **The Final Sip Avenger**, protector of beverages and fridge dignity.                 |
|  14 | She opens a bag of chips and it is 72% air                                   | Mimi becomes **The Air Baroness**, suing the concept of packaging emotionally.                     |
|  15 | Her alarm goes off on a dream cliffhanger                                    | Mimi becomes **Dream Interrupted**, haunting mornings forever.                                     |
|  16 | The blanket is too hot but the room is too cold                              | Mimi becomes **The Temperature Goblin**, unable to be pleased by physics.                          |
|  17 | Someone replies “k”                                                          | Mimi becomes **One-Letter Doom**, destroying peace with a single screenshot.                       |
|  18 | The restaurant forgot her sauce                                              | Mimi becomes **Sauceless Mimi**, wandering the earth with dry nuggets and wet eyes.                |
|  19 | Her playlist shuffles to the wrong vibe                                      | Mimi becomes **DJ Betrayal**, banning algorithms from emotional decisions.                         |
|  20 | She bites into a cookie and it has raisins                                   | Mimi becomes **The Dessert Inspector**, suspicious of all round brown objects.                     |
|  21 | A door says push but she pulls                                               | Mimi becomes **The Humiliation Phantom**, never trusting handles again.                            |
|  22 | Someone says “we need to talk” then disappears                               | Mimi becomes **Anxiety CEO**, holding emergency meetings in her own brain.                         |
|  23 | She drops her phone on her face in bed                                       | Mimi becomes **The Pillow Villain**, plotting revenge from a horizontal position.                  |
|  24 | The printer says “paper jam” with no visible jam                             | Mimi becomes **Office Gremlin Prime**, enemy of corporate machinery.                               |
|  25 | Her sleeve gets wet while washing hands                                      | Mimi becomes **The Damp Cuff Demon**, ruined by one centimeter of water.                           |
|  26 | She loses one earbud                                                         | Mimi becomes **Mono Audio Menace**, hearing betrayal in one ear only.                              |
|  27 | Someone eats the leftovers she was emotionally attached to                   | Mimi becomes **Fridge Phantom**, haunting kitchens at midnight.                                    |
|  28 | Her chair makes a weird noise in a quiet room                                | Mimi becomes **Public Shame Mimi**, legally unable to attend meetings.                             |
|  29 | She stubs her toe on furniture she owns                                      | Mimi becomes **The Interior Design Enemy**, declaring furniture suspicious.                        |
|  30 | The microwave stops at 0:01                                                  | Mimi becomes **The Unfinished Timer**, leaving everything almost complete out of spite.            |
|  31 | Her lip balm disappears                                                      | Mimi becomes **Chapped Justice**, walking the earth in dry silence.                                |
|  32 | A group chat ignores her best joke                                           | Mimi becomes **The Unappreciated Clown**, taking screenshots for court.                            |
|  33 | Someone types for 40 seconds then sends “yeah”                               | Mimi becomes **Typing Bubble Survivor**, forever changed by fake suspense.                         |
|  34 | She opens the camera accidentally in selfie mode                             | Mimi becomes **The Front Camera Curse**, humbled by angles and overhead lighting.                  |
|  35 | The spoon falls into the soup                                                | Mimi becomes **Soup Hand Mimi**, too powerful and too wet.                                         |
|  36 | Her nail catches on fabric                                                   | Mimi becomes **The Thread Snagger**, enemy of sweaters everywhere.                                 |
|  37 | The toilet paper roll is empty                                               | Mimi becomes **Bathroom Betrayal**, writing laws no one will read.                                 |
|  38 | She forgets why she entered a room                                           | Mimi becomes **The Memory Goblin**, guarding doorways and stealing purpose.                        |
|  39 | Her laptop updates without permission                                        | Mimi becomes **Restart Required**, unavailable for peace or productivity.                          |
|  40 | Someone says “no offense” then offends                                       | Mimi becomes **The Offense Collector**, building a museum of audacity.                             |
|  41 | The straw gets soggy                                                         | Mimi becomes **Paper Straw Nemesis**, fighting eco-conscious inconvenience with tears.             |
|  42 | She steps in water wearing socks                                             | Mimi becomes **Wet Sock Warlord**, entering the darkest timeline.                                  |
|  43 | Her food arrives, but no napkins                                             | Mimi becomes **Sauce Fingers**, touching nothing and trusting no one.                              |
|  44 | She gets an email that starts with “just following up”                       | Mimi becomes **The Follow-Up Fiend**, hiding under a digital rock.                                 |
|  45 | A sticker leaves residue                                                     | Mimi becomes **Residue Revenant**, scraping at destiny with one fingernail.                        |
|  46 | Someone says “it’s giving…” and never finishes                               | Mimi becomes **Unfinished Sentence Mimi**, cursed to wonder forever.                               |
|  47 | The cashier asks if she wants the receipt while she is buffering             | Mimi becomes **Receipt Panic**, choosing wrong every time.                                         |
|  48 | She accidentally likes an old post                                           | Mimi becomes **The Archaeology Criminal**, caught digging in forbidden timelines.                  |
|  49 | Her bag strap twists                                                         | Mimi becomes **The Strap Spiral**, fighting accessories and losing daily.                          |
|  50 | The automatic soap dispenser ignores her hand                                | Mimi becomes **Invisible to Soap**, rejected by hygiene technology.                                |
|  51 | She orders iced coffee and gets hot coffee                                   | Mimi becomes **Thermal Betrayal**, no longer believing in beverage law.                            |
|  52 | The avocado is either rock or soup                                           | Mimi becomes **The Ripeness Prophet**, wrong every time but dramatic about it.                     |
|  53 | She drops something and it rolls under the bed                               | Mimi becomes **Underbed Goblin**, crawling toward darkness for one lip gloss.                      |
|  54 | Someone sends a voice note longer than 2 minutes                             | Mimi becomes **Audio Homework Mimi**, grading friendships by transcript length.                    |
|  55 | The remote battery dies                                                      | Mimi becomes **The Channel Prisoner**, forced to watch whatever fate selected.                     |
|  56 | Her blanket burrito unwraps                                                  | Mimi becomes **The Cold Tortilla**, abandoned by comfort itself.                                   |
