MYSTERY CARD BATCH - 150 HIDDEN CHOICES
Use for 3 random mystery cards. Show CARD_TITLE + TEASER only before reveal.
Format: ID | Category | Card Title | Teaser | Actual Reveal

001 | Food Crimes | Snack Crime | Something edible chose violence. | Reveal after click: The coffee lid leaks on Mimi’s sleeve
002 | Public Humiliation | Sidewalk Villainy | Someone blocked destiny with confidence. | Reveal after click: Someone walks slowly in front of her
003 | Phone Betrayals | Phone Betrayal | The chat became a crime scene. | Reveal after click: Her phone charger only works at one angle
004 | Technology Betrayal | Device Treason | A button failed society. | Reveal after click: The Wi-Fi drops during one important click
005 | Phone Betrayals | Algorithm Betrayal | The device knew exactly what it was doing. | Reveal after click: A text says “lol” with no emoji
006 | Shopping/Public Chaos | Capitalism Incident | A wheel, a queue, or a package lied. | Reveal after click: The vending machine eats her coin
007 | Food Crimes | Sauce Situation | The sauce was not emotionally available. | Reveal after click: Her fries arrive lukewarm
008 | Social Damage | Words With Consequences | Peace was broken by punctuation. | Reveal after click: Someone says “calm down”
009 | Public Humiliation | Witnesses Were Present | Witnesses were unfortunately present. | Reveal after click: The elevator closes right before she reaches it
010 | Home Inconveniences | Furniture Attack | A household object attacked first. | Reveal after click: Her favorite pen runs out mid-sentence
011 | Home Inconveniences | Blanket Betrayal | Comfort abandoned the mission. | Reveal after click: A sock disappears in the laundry
012 | Technology Betrayal | Device Treason | A button failed society. | Reveal after click: A YouTube ad appears at the best part
013 | Food Crimes | Flavor Felony | Carbs became political. | Reveal after click: Someone leaves one sip of juice in the fridge
014 | Food Crimes | Breakfast Incident | Flavor trust was permanently damaged. | Reveal after click: She opens a bag of chips and it is 72% air
015 | Weather/Comfort Crimes | Cozy System Failure | Physics got too involved. | Reveal after click: Her alarm goes off on a dream cliffhanger
016 | Home Inconveniences | Home Object With Motives | Home was not acting like home. | Reveal after click: The blanket is too hot but the room is too cold
017 | Phone Betrayals | Digital Crime | One notification changed everything. | Reveal after click: Someone replies “k”
018 | Food Crimes | Kitchen Betrayal | A snack failed its moral duty. | Reveal after click: The restaurant forgot her sauce
019 | Phone Betrayals | Phone Betrayal | The chat became a crime scene. | Reveal after click: Her playlist shuffles to the wrong vibe
020 | Food Crimes | Suspicious Bite | One bite changed the timeline. | Reveal after click: She bites into a cookie and it has raisins
021 | Public Humiliation | Stranger Danger, Emotionally | Mimi’s dignity left the building. | Reveal after click: A door says push but she pulls
022 | Social Damage | Audacity Alert | Mimi heard one phrase and changed species. | Reveal after click: Someone says “we need to talk” then disappears
023 | Phone Betrayals | Pocket-Sized Disaster | Pocket technology chose chaos. | Reveal after click: She drops her phone on her face in bed
024 | Technology Betrayal | Appliance Villainy | Technology stopped pretending to help. | Reveal after click: The printer says “paper jam” with no visible jam
025 | Weather/Comfort Crimes | Comfort Violation | Something wet. Something personal. | Reveal after click: Her sleeve gets wet while washing hands
026 | Phone Betrayals | Text Message Curse | A tiny screen committed a felony. | Reveal after click: She loses one earbud
027 | Social Damage | Conversation Crime | The tone was legally unclear. | Reveal after click: Someone eats the leftovers she was emotionally attached to
028 | Public Humiliation | Social Side Quest | A stranger became part of the lore. | Reveal after click: Her chair makes a weird noise in a quiet room
029 | Home Inconveniences | Room Temperature Lore | The room became emotionally unsafe. | Reveal after click: She stubs her toe on furniture she owns
