POWERS, WEAKNESSES, AND CATCHPHRASES - 150 RESULT-CARD EXTRAS
Format: ID | Villain Name | Power | Weakness | Catchphrase

001 | The Drip Queen | POWER: Can turn snack disappointment into courtroom evidence. | WEAKNESS: A perfect snack and one sincere apology. | CATCHPHRASE: “I came hungry and left radicalized.”
002 | Sidewalk Final-Boss Energy | POWER: Can turn one witness into a full courtroom. | WEAKNESS: A sidewalk with emotional intelligence. | CATCHPHRASE: “I will now vanish socially.”
003 | The Cable Witch | POWER: Can weaponize screenshots without opening the group chat. | WEAKNESS: Turning off notifications like a healthy person. | CATCHPHRASE: “One bubble. Infinite damage.”
004 | Buffering Villain Era | POWER: Can haunt routers, printers, apps, and suspicious pop-ups. | WEAKNESS: An app that simply works the first time. | CATCHPHRASE: “Something went wrong? So did I.”
005 | The Tone Detective | POWER: Can convert one tiny message into a full emotional documentary. | WEAKNESS: Clear communication in full sentences. | CATCHPHRASE: “Say less. I already overthought it.”
006 | Snack Debt Collector | POWER: Can make errands feel like boss battles. | WEAKNESS: An errand that ends before it becomes lore. | CATCHPHRASE: “Delivered where, spiritually?”
007 | The Potato Tyrant | POWER: Can make every bite feel like a betrayal arc. | WEAKNESS: Correct seasoning and a stable blood sugar level. | CATCHPHRASE: “Dry nuggets made me this way.”
008 | Mount Mimi | POWER: Can hold a grudge with excellent file management. | WEAKNESS: Clear tone, quick replies, and no verbal jump scares. | CATCHPHRASE: “Tone is evidence.”
009 | The Button Presser | POWER: Can leave her body for three business days. | WEAKNESS: No witnesses and a clean exit path. | CATCHPHRASE: “Witnesses were present.”
010 | Inkless Vengeance | POWER: Can turn household objects into sworn enemies. | WEAKNESS: A blanket that stays loyal. | CATCHPHRASE: “The dryer has secrets.”
011 | The Missing Sock Oracle | POWER: Can sense laundry portals before the dryer lies. | WEAKNESS: A dryer that returns every sock alive. | CATCHPHRASE: “My blanket remembers.”
012 | Skip Button Supreme | POWER: Can haunt routers, printers, apps, and suspicious pop-ups. | WEAKNESS: An app that simply works the first time. | CATCHPHRASE: “Something went wrong? So did I.”
013 | The Final Sip Avenger | POWER: Can turn snack disappointment into courtroom evidence. | WEAKNESS: A perfect snack and one sincere apology. | CATCHPHRASE: “I came hungry and left radicalized.”
014 | The Air Baroness | POWER: Can detect dry nuggets from three rooms away. | WEAKNESS: Fresh sauce, warm fries, and emotional supervision. | CATCHPHRASE: “This snack will be remembered.”
015 | Dream Interrupted | POWER: Can detect the wrong kind of cozy instantly. | WEAKNESS: Soft lighting and a weather app that does not lie. | CATCHPHRASE: “I reject this temperature.”
016 | The Temperature Goblin | POWER: Can make comfort items apologize publicly. | WEAKNESS: A drawer that opens without negotiation. | CATCHPHRASE: “I live here, but at what cost?”
017 | One-Letter Doom | POWER: Can convert one tiny message into a full emotional documentary. | WEAKNESS: Clear communication in full sentences. | CATCHPHRASE: “Say less. I already overthought it.”
